# Facility: NSLS-II
# Beamline: QAS
# Year: 2019
# Cycle: 1
# Comment: 
# Trajectory name: nickel-8333.txt
# Element: Nickel ( 28)
# Edge: K
# E0: 8333
# Start time: 02/14/2019  14:41:38
# Stop time: 02/14/2019  14:42:16
#
# energy  i0  it  ir  pips  adc7  adc8
 8143.312310 1.024808e+00 4.090236e-01 3.097384e-01 9.767852e-01 7.329120e-05 2.643072e-05
 8148.312310 2.028344e+00 8.107745e-01 6.153717e-01 1.934037e+00 1.489860e-04 5.420186e-05
 8153.312310 2.043824e+00 8.187400e-01 6.233739e-01 1.954777e+00 1.439358e-04 4.447800e-05
 8158.312310 2.041599e+00 8.195492e-01 6.258768e-01 1.956842e+00 1.421379e-04 3.851696e-05
 8163.312310 2.040166e+00 8.209035e-01 6.289433e-01 1.957936e+00 1.493620e-04 3.236958e-05
 8168.312310 2.037753e+00 8.221509e-01 6.320157e-01 1.957303e+00 1.267991e-04 4.097304e-05
 8173.312310 2.034925e+00 8.229521e-01 6.347417e-01 1.961392e+00 1.265737e-04 3.223830e-05
 8178.312310 2.032601e+00 8.239970e-01 6.375552e-01 1.959864e+00 1.423648e-04 4.123381e-05
 8183.312310 2.032111e+00 8.258136e-01 6.408501e-01 1.966788e+00 1.435225e-04 3.710849e-05
 8188.312310 2.032482e+00 8.278616e-01 6.442037e-01 1.973107e+00 1.381703e-04 3.962593e-05
 8193.312310 2.027987e+00 8.279797e-01 6.463344e-01 1.973455e+00 1.509267e-04 5.081090e-05
 8198.312310 2.025997e+00 8.291665e-01 6.491898e-01 1.974809e+00 1.563560e-04 4.377680e-05
 8203.312310 2.022715e+00 8.298421e-01 6.516397e-01 1.974117e+00 1.529040e-04 3.635328e-05
 8208.312310 2.020651e+00 8.309084e-01 6.544964e-01 1.974987e+00 1.292066e-04 3.156576e-05
 8213.312310 2.018219e+00 8.317753e-01 6.572247e-01 1.974599e+00 1.262166e-04 2.036903e-05
 8218.312310 2.015941e+00 8.327514e-01 6.599716e-01 1.979649e+00 1.081810e-04 1.728182e-05
 8223.312310 2.013979e+00 8.338613e-01 6.628060e-01 1.983000e+00 1.146073e-04 1.512114e-05
 8228.312310 2.011093e+00 8.346036e-01 6.653804e-01 1.982666e+00 1.284336e-04 1.458444e-05
 8233.312310 2.008989e+00 8.356223e-01 6.680686e-01 1.980525e+00 1.294046e-04 1.137304e-05
 8238.312310 2.005864e+00 8.362375e-01 6.706783e-01 1.985659e+00 1.063010e-04 1.402467e-05
 8243.312310 2.004992e+00 8.377034e-01 6.735469e-01 1.993122e+00 1.113885e-04 1.313282e-05
 8248.312310 2.003884e+00 8.392083e-01 6.765922e-01 1.991603e+00 1.111739e-04 1.129843e-05
 8253.312310 2.001328e+00 8.401000e-01 6.791744e-01 1.992449e+00 1.272889e-04 1.788333e-05
 8258.312310 1.998374e+00 8.407480e-01 6.815880e-01 1.994243e+00 1.238605e-04 3.252067e-05
 8263.312310 1.995893e+00 8.416478e-01 6.840911e-01 1.993080e+00 1.231005e-04 3.330569e-05
 8268.312310 1.993656e+00 8.426096e-01 6.866855e-01 1.997498e+00 1.239935e-04 1.535488e-05
 8273.312310 1.992694e+00 8.439905e-01 6.893901e-01 2.003671e+00 1.265092e-04 1.302975e-05
 8278.312310 1.985427e+00 8.429570e-01 6.901846e-01 1.994312e+00 1.201405e-04 8.258980e-06
 8283.312310 1.985347e+00 8.447790e-01 6.935954e-01 1.996478e+00 1.021946e-04 1.559573e-05
 8288.312310 1.986026e+00 8.469292e-01 6.970380e-01 2.004503e+00 9.762582e-05 1.570651e-05
 8293.312310 1.984485e+00 8.481620e-01 6.996157e-01 2.002711e+00 1.190052e-04 1.618933e-05
 8298.312310 1.980452e+00 8.483929e-01 7.013283e-01 2.004080e+00 1.244494e-04 1.515906e-05
 8303.000000 1.978738e+00 8.494586e-01 7.032931e-01 2.002545e+00 1.093143e-04 2.007745e-05
 8304.000000 1.979228e+00 8.500150e-01 7.040935e-01 2.002867e+00 1.290357e-04 3.422159e-05
 8305.000000 1.975523e+00 8.486989e-01 7.032701e-01 2.002058e+00 1.295755e-04 7.329783e-06
 8306.000000 1.978188e+00 8.502428e-01 7.045956e-01 2.011908e+00 1.295197e-04 2.247036e-05
 8307.000000 1.977513e+00 8.504347e-01 7.049235e-01 2.014471e+00 1.213464e-04 5.693651e-06
 8308.000000 1.976386e+00 8.502902e-01 7.050743e-01 2.008267e+00 1.248912e-04 -2.297306e-05
 8309.000000 1.972659e+00 8.489863e-01 7.041167e-01 2.000742e+00 1.090226e-04 -2.858022e-05
 8310.000000 1.977006e+00 8.513814e-01 7.057978e-01 2.010465e+00 1.353217e-04 -1.487464e-05
 8310.200000 1.975954e+00 8.507269e-01 7.058459e-01 2.036621e+00 1.705507e-04 5.375919e-07
 8310.400000 1.980846e+00 8.530595e-01 7.073926e-01 2.009662e+00 1.014530e-04 -1.153694e-05
 8310.600000 1.969682e+00 8.483239e-01 7.040165e-01 1.989918e+00 1.358326e-04 -1.419060e-05
 8310.800000 1.973960e+00 8.503176e-01 7.052437e-01 2.029538e+00 1.377841e-04 1.353210e-05
 8311.000000 1.965675e+00 8.471651e-01 7.032670e-01 2.005711e+00 1.388860e-04 1.388288e-05
 8311.200000 1.969314e+00 8.485727e-01 7.042093e-01 2.007117e+00 1.094908e-04 -4.184318e-06
 8311.400000 1.972192e+00 8.498546e-01 7.049512e-01 2.027624e+00 8.731443e-05 -1.673597e-05
 8311.600000 1.985663e+00 8.554157e-01 7.091635e-01 2.015525e+00 1.967617e-04 1.795752e-05
 8311.800000 1.966778e+00 8.477605e-01 7.038180e-01 2.013334e+00 1.495542e-04 1.757116e-05
 8312.000000 1.974096e+00 8.507323e-01 7.062140e-01 2.008810e+00 1.316430e-04 -3.187926e-05
 8312.200000 1.976299e+00 8.518830e-01 7.066000e-01 2.003887e+00 1.583455e-04 -1.656375e-05
 8312.400000 1.983103e+00 8.547438e-01 7.088227e-01 2.041284e+00 9.018658e-05 -4.451772e-05
 8312.600000 1.975911e+00 8.518483e-01 7.067774e-01 2.012210e+00 1.357997e-04 -6.969993e-06
 8312.800000 1.980350e+00 8.539288e-01 7.083244e-01 1.996968e+00 1.256548e-04 9.655973e-06
 8313.000000 1.966352e+00 8.480535e-01 7.034738e-01 1.996439e+00 8.171993e-05 -3.551282e-06
 8313.200000 1.975974e+00 8.519667e-01 7.067292e-01 2.009486e+00 1.277754e-04 2.098490e-05
 8313.400000 1.977958e+00 8.529066e-01 7.077446e-01 2.039896e+00 1.433313e-04 4.186354e-05
 8313.600000 1.973052e+00 8.509934e-01 7.061869e-01 2.010493e+00 1.483762e-04 4.287107e-05
 8313.800000 1.962287e+00 8.461382e-01 7.023612e-01 1.984194e+00 1.219548e-04 2.853098e-05
 8314.000000 1.976483e+00 8.526703e-01 7.069902e-01 1.997813e+00 1.453522e-04 1.420590e-05
