# {
#     "poni_version": 2.1,
#     "detector": "Perkin",
#     "detector_config": {
#         "pixel1": 0.0002,
#         "pixel2": 0.0002,
#         "orientation": 3
#     },
#     "dist": 1.4280177479893559,
#     "poni1": 0.23398429857415295,
#     "poni2": 0.37634908408057827,
#     "rot1": -0.003994332959290178,
#     "rot2": -0.026132616520970278,
#     "rot3": -4.71036871681453e-10,
#     "wavelength": 1.814e-11
# }
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# --> from_PerkinElmer_detector/LaB6.xy
#       2th_deg             I 
  2.005000e+00    2.349845e+01
  2.015000e+00    2.350656e+01
  2.025000e+00    2.345454e+01
  2.035000e+00    2.340515e+01
  2.045000e+00    2.336799e+01
  2.055000e+00    2.347363e+01
  2.065000e+00    2.340834e+01
  2.075000e+00    2.336124e+01
  2.085000e+00    2.323235e+01
  2.095000e+00    2.331185e+01
  2.105000e+00    2.337748e+01
  2.115000e+00    2.330265e+01
  2.125000e+00    2.335194e+01
  2.135000e+00    2.330156e+01
  2.145000e+00    2.328629e+01
  2.155000e+00    2.326312e+01
  2.165000e+00    2.324240e+01
  2.175000e+00    2.311710e+01
  2.185000e+00    2.310875e+01
  2.195000e+00    2.312947e+01
  2.205000e+00    2.319875e+01
  2.215000e+00    2.314060e+01
  2.225000e+00    2.304002e+01
  2.235000e+00    2.302728e+01
  2.245000e+00    2.294225e+01
  2.255000e+00    2.290678e+01
  2.265000e+00    2.292537e+01
  2.275000e+00    2.292266e+01
  2.285000e+00    2.285732e+01
  2.295000e+00    2.280148e+01
  2.305000e+00    2.276160e+01
  2.315000e+00    2.270564e+01
  2.325000e+00    2.269307e+01
  2.335000e+00    2.262062e+01
  2.345000e+00    2.256855e+01
  2.355000e+00    2.255930e+01
  2.365000e+00    2.260743e+01
  2.375000e+00    2.258349e+01
  2.385000e+00    2.250136e+01
  2.395000e+00    2.249376e+01
  2.405000e+00    2.247033e+01
  2.415000e+00    2.243771e+01
  2.425000e+00    2.246466e+01
  2.435000e+00    2.237907e+01
  2.445000e+00    2.228889e+01
  2.455000e+00    2.232241e+01
  2.465000e+00    2.231329e+01
  2.475000e+00    2.226263e+01
  2.485000e+00    2.231290e+01
  2.495000e+00    2.230986e+01
  2.505000e+00    2.233497e+01
  2.515000e+00    2.222614e+01
  2.525000e+00    2.218966e+01
  2.535000e+00    2.216088e+01
  2.545000e+00    2.216214e+01
  2.555000e+00    2.207584e+01
  2.565000e+00    2.204606e+01
  2.575000e+00    2.204718e+01
  2.585000e+00    2.205205e+01
  2.595000e+00    2.204811e+01
  2.605000e+00    2.196663e+01
  2.615000e+00    2.189187e+01
  2.625000e+00    2.189510e+01
  2.635000e+00    2.187826e+01
  2.645000e+00    2.185410e+01
  2.655000e+00    2.181033e+01
  2.665000e+00    2.178557e+01
  2.675000e+00    2.181341e+01
  2.685000e+00    2.180516e+01
  2.695000e+00    2.177411e+01
  2.705000e+00    2.168364e+01
  2.715000e+00    2.168696e+01
  2.725000e+00    2.172429e+01
  2.735000e+00    2.165434e+01
  2.745000e+00    2.162770e+01
  2.755000e+00    2.158613e+01
  2.765000e+00    2.154439e+01
  2.775000e+00    2.152524e+01
  2.785000e+00    2.155244e+01
  2.795000e+00    2.156665e+01
  2.805000e+00    2.153512e+01
  2.815000e+00    2.143170e+01
  2.825000e+00    2.142139e+01
  2.835000e+00    2.144293e+01
  2.845000e+00    2.150031e+01
  2.855000e+00    2.145308e+01
  2.865000e+00    2.139115e+01
  2.875000e+00    2.141135e+01
  2.885000e+00    2.144992e+01
  2.895000e+00    2.139992e+01
  2.905000e+00    2.138031e+01
  2.915000e+00    2.142800e+01
  2.925000e+00    2.133676e+01
  2.935000e+00    2.135985e+01
  2.945000e+00    2.136252e+01
  2.955000e+00    2.136712e+01
  2.965000e+00    2.141759e+01
  2.975000e+00    2.136519e+01
  2.985000e+00    2.140897e+01
  2.995000e+00    2.142458e+01
  3.005000e+00    2.140165e+01
  3.015000e+00    2.137745e+01
