# {
#     "poni_version": 2.1,
#     "detector": "Perkin",
#     "detector_config": {
#         "pixel1": 0.0002,
#         "pixel2": 0.0002,
#         "orientation": 3
#     },
#     "dist": 1.4280177479893559,
#     "poni1": 0.23398429857415295,
#     "poni2": 0.37634908408057827,
#     "rot1": -0.003994332959290178,
#     "rot2": -0.026132616520970278,
#     "rot3": -4.71036871681453e-10,
#     "wavelength": 1.814e-11
# }
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# --> from_PerkinElmer_detector/LaB6.xy
#       2th_deg             I 
  2.005000e+00    2.350746e+01
  2.015000e+00    2.350733e+01
  2.025000e+00    2.346250e+01
  2.035000e+00    2.341742e+01
  2.045000e+00    2.336497e+01
  2.055000e+00    2.347265e+01
  2.065000e+00    2.341529e+01
  2.075000e+00    2.336439e+01
  2.085000e+00    2.323476e+01
  2.095000e+00    2.330843e+01
  2.105000e+00    2.338249e+01
  2.115000e+00    2.331303e+01
  2.125000e+00    2.335454e+01
  2.135000e+00    2.330904e+01
  2.145000e+00    2.328651e+01
  2.155000e+00    2.325508e+01
  2.165000e+00    2.324269e+01
  2.175000e+00    2.311892e+01
  2.185000e+00    2.311646e+01
  2.195000e+00    2.313332e+01
  2.205000e+00    2.320400e+01
  2.215000e+00    2.314044e+01
  2.225000e+00    2.303943e+01
  2.235000e+00    2.303818e+01
  2.245000e+00    2.293957e+01
  2.255000e+00    2.290156e+01
  2.265000e+00    2.292029e+01
  2.275000e+00    2.291891e+01
  2.285000e+00    2.285767e+01
  2.295000e+00    2.279860e+01
  2.305000e+00    2.276040e+01
  2.315000e+00    2.271168e+01
  2.325000e+00    2.268970e+01
  2.335000e+00    2.260936e+01
  2.345000e+00    2.257574e+01
  2.355000e+00    2.255474e+01
  2.365000e+00    2.260224e+01
  2.375000e+00    2.258126e+01
  2.385000e+00    2.250934e+01
  2.395000e+00    2.249440e+01
  2.405000e+00    2.247132e+01
  2.415000e+00    2.243438e+01
  2.425000e+00    2.245907e+01
  2.435000e+00    2.238165e+01
  2.445000e+00    2.228341e+01
  2.455000e+00    2.232313e+01
  2.465000e+00    2.231170e+01
  2.475000e+00    2.226426e+01
  2.485000e+00    2.231161e+01
  2.495000e+00    2.230954e+01
  2.505000e+00    2.233344e+01
  2.515000e+00    2.222563e+01
  2.525000e+00    2.218531e+01
  2.535000e+00    2.215003e+01
  2.545000e+00    2.215851e+01
  2.555000e+00    2.207657e+01
  2.565000e+00    2.204927e+01
  2.575000e+00    2.205133e+01
  2.585000e+00    2.205256e+01
  2.595000e+00    2.205555e+01
  2.605000e+00    2.196927e+01
  2.615000e+00    2.189202e+01
  2.625000e+00    2.190523e+01
  2.635000e+00    2.188293e+01
  2.645000e+00    2.185285e+01
  2.655000e+00    2.181282e+01
  2.665000e+00    2.178307e+01
  2.675000e+00    2.181252e+01
  2.685000e+00    2.180034e+01
  2.695000e+00    2.177480e+01
  2.705000e+00    2.168210e+01
  2.715000e+00    2.167750e+01
  2.725000e+00    2.172188e+01
  2.735000e+00    2.165176e+01
  2.745000e+00    2.162698e+01
