# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 4
# Detector.I1_amp_gain: 4
# Detector.I2_amp_gain: 5
# Detector.IF_amp_gain: 6
# Detector.aux: 
# Element.symbol: Ni
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 400.35282595377504
# Facility.cycle: 2022-2
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: Ni foil 0001
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: -22.8200122375
# ISS.sample_y_position: -48.396793724
# Scan.edge_energy: 8333.0
# Scan.start_time: 06/17/2022  09:37:49
# Scan.end_time: 06/17/2022  09:38:24
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8133.000000 -3.054281e-05 -2.269735e-05 -3.697311e-06 -2.452127e-07 1.571719e-05 -6.161817e-06 -1.028685e-05 1.675678e-05
 8138.000000 -4.411774e-05 -3.283236e-05 -5.354940e-06 -3.548885e-07 1.597937e-05 -1.200160e-05 -1.889923e-05 2.013169e-05
 8143.000000 -4.400865e-05 -3.278880e-05 -5.357144e-06 -3.549495e-07 1.695962e-05 -2.539980e-06 -1.481406e-05 1.743349e-05
 8148.000000 -4.252390e-05 -3.172812e-05 -5.193504e-06 -3.443042e-07 9.549283e-06 2.578914e-06 -1.137404e-05 1.458733e-05
 8153.000000 -4.234371e-05 -3.166496e-05 -5.195036e-06 -3.437235e-07 2.504273e-06 -1.069100e-05 -1.614365e-05 1.419372e-05
 8158.000000 -4.287788e-05 -3.211696e-05 -5.279567e-06 -3.488324e-07 1.322095e-05 -1.413568e-05 3.578605e-06 2.215547e-05
 8163.000000 -4.433005e-05 -3.326383e-05 -5.477471e-06 -3.610310e-07 1.964914e-05 -1.552061e-05 -1.219596e-06 2.004520e-05
 8168.000000 -4.466586e-05 -3.358607e-05 -5.540556e-06 -3.643652e-07 1.679522e-05 -2.203931e-05 -1.915320e-06 1.388820e-05
 8173.000000 -4.488608e-05 -3.379389e-05 -5.586520e-06 -3.670942e-07 2.291328e-05 -2.696058e-05 -3.131290e-06 1.245272e-05
 8178.000000 -4.480877e-05 -3.379236e-05 -5.596879e-06 -3.672960e-07 3.408983e-05 -2.555030e-05 2.980880e-06 1.264382e-05
